Name,City,Country,District,DS Division,Latitude,Longitude,Language
12008,Osire,NA,Omatako,,−20.7383,17.0494,en
12009,Kalkfeld,NA,Otjiwarongo,,−19.465,17.191,en
12010,Grootfontein,NA,Grootfontein,,−19.5666,18.1166,en
12011,Tsumkwe,NA,Tsumkwe,,−18.060,19.98,en
12012,Kombat,NA,Otavi,,−19.0166,17.35,en
12013,Otavi,NA,Otavi,,−19.650,17.333,en
13001,Swakopmund,NA,Swakopmund,,−22.683,14.533,en
13002,Woermann & Brock Centre Kiosk,NA,Swakopmund,,−22.683,14.5333,en
13003,Vineta,NA,Swakopmund,,−22.6500,14.5166,en
13004,Mondesa,NA,Swakopmund,,−22.683,14.5333,en
13005,Henties Bay,NA,Arandis,,−22.1184,14.2824,en
13006,Arandis,NA,Arandis,,−22.4166,14.966,en
13007,Usakos,NA,Karibib,,−22.000,15.6,en
13008,Karibib,NA,Karibib,,−21.933,15.833,en
13009,Omaruru,NA,Omaruru,,−21.433,15.933,en
13010,Uis,NA,Dâures,,−21.2186,14.8675,en
13011,Omatjete,NA,Dâures,,−21.050,15.5,en
13012,Okombahe,NA,Dâures,,−21.360,15.375,en
13013,Walvis Bay,NA,Walvis Bay Urban,,−22.95611,14.50806,en
13014,Narraville,NA,Walvis Bay Urban,,−22.954,14.5447,en
13015,Kuisebmund,NA,Walvis Bay Urban,,−22.93196,14.5286,en
14001,Omuthiya,NA,Omuthiyagwiipundi,,−18.3604,16.5805,en
14002,Tsumeb,NA,Tsumeb,,−19.250,17.867,en
14003,Oshivelo,NA,Guinas,,−18.61987,17.1676,en
14004,Onandjokwe,NA,Oniipa,,−17.900,16.033,en
14005,Oshigambo,NA,Oniipa,,−17.7833,16.066,en
14006,Onayena,NA,Onayena,,−17.9496,16.1937,en
14007,Okankolo,NA,Okankolo,,−17.966,16.4166,en
14008,Onankali,NA,Onyaanya,,−18.166,16.35,en
14009,Omuntele,NA,Omuntele,,−18.233,16.2333,en
14010,Onyaanya,NA,Onyaanya,,−18.066,16.266,en
14011,Okaukuejo,NA,Okakarara,,−19.183,15.933,en
15001,Oshakati,NA,Oshakati East,,−17.7836,15.69939,en
15002,Ondangwa,NA,Ondangwa Rural,,−17.91375,15.9782,en
15003,Oluno,NA,Okatana,,−17.7166,16.8,en
15004,Oshakati Pick n Pay,NA,Oshakati West,,−17.78354,15.7535,en
15005,Oshakati Spar,NA,Oshakati West,,−17.77214,15.69285,en
15006,Ongwediva,NA,Ongwediva,,−17.77167,15.76417,en
16001,Outapi,NA,Outapi,,−17.5044,14.9847,en
16002,Onandjaba,NA,Onesi,,−17.450,17,en
16003,Oshikuku,NA,Oshikuku,,−17.6543,15.4727,en
16004,Onesi,NA,Onesi,,−17.5915,14.68648,en
16005,Onawa,NA,Otamanzi,,−17.60,15.2,en
16006,Ruacana,NA,Ruacana,,−17.1666,15.1,en
16007,Onaanda,NA,Otamanzi,,−17.7833,15.583,en
16008,Okahao,NA,Okahao,,−18.133,15.95,en
16009,Tsandi,NA,Tsandi,,−17.5830,14.683,en
16010,Ogongo,NA,Ogongo,,−17.66,15.166,en
17001,Eenhana,NA,Eenhana,,−17.485,16.3287,en
17002,Ondobe,NA,Ondobe,,−17.5167,16.05,en
17003,Okongo,NA,Okongo,,−17.56879,17.21345,en
17004,Ongha,NA,Endola,,−17.683,16.8833,en
17005,Ohangwena,NA,Ohangwena,,−17.766,16.7166,en
17006,Omungwelume,NA,Epembe,,−17.700,16.2166,en
17007,Ongenga,NA,Ongenga,,−17.433,15.683,en
17008,Oshikango,NA,Oshikango,,−17.39783,15.89069,en
17009,Oshikango Savings Bank,NA,Oshikango,,−17.3978,15.89069,en
17010,Endola,NA,Endola,,−17.600,15.71667,en
18001,Nkurenkuru,NA,Nkurenkuru,,−17.800,19.15,en
18002,Mpungu,NA,Mpungu,,−17.6666,18.233,en
19001,Rundu,NA,Rundu Urban,,−17.9166,19.7666,en
19002,Divundu,NA,Mukwe,,−18.167,21.48,en
20001,Ngweze,NA,Kabbe South,,−17.9333,19.2166,en
20002,Katima Mulilo Kiosk,NA,Katima Mulilo Urban,,−17.500,24.266,en
20003,Mayuni,NA,Katima Mulilo Rural,,−17.6666,24.35,en
20004,Bukalo,NA,Kabbe South,,−17.7166,24.45,en
20005,Chincimane,NA,Katima Mulilo Rural,,−17.500,24.2333,en
21001,Opuwo,NA,Opuwo Urban,,−18.0600,13.83,en
21002,Khorixas,NA,Khorixas,,−20.3666,15.949,en
21003,Fransfontein,NA,Khorixas,,−20.000,16.15,en
21004,Kamanjab,NA,Kamanjab,,−20.2833,15.466,en
21005,Outjo,NA,Outjo,,−20.1166,16.15,en
21006,Sesfontein,NA,Sesfontein,,−19.8000,13.8333,en
22001,Mariental,NA,Mariental Rural,,−24.6251,17.9614,en
22002,Kalkrand,NA,Rehoboth Rural,,−24.4833,18.2333,en
22003,Stampriet,NA,Mariental Rural,,−24.333,18.4,en
22004,Aranos,NA,Aranos,,−24.1377,19.1107,en
22005,Gochas,NA,Aranos,,−25.9666,18.5,en
22006,Gibeon,NA,Gibeon,,−25.1244,17.766,en
22007,Maltahöhe,NA,Daweb,,−24.83806,16.98013,en
22008,Rehoboth,NA,Rehoboth Urban East,,−23.31667,17.0833,en
22009,Klein Aub,NA,Rehoboth Rural,,−24.603,17.788,en
23001,Keetmanshoop,NA,Keetmanshoop Urban,,−26.5833,18.1333,en
23002,Tses,NA,Berseba,,−26.7166,18.2166,en
23003,Berseba,NA,Berseba,,−26.15,17.85,en
23004,Koës,NA,Keetmanshoop Rural,,−26.9166,17.733,en
23005,Aroab,NA,Keetmanshoop Rural,,−26.61667,17.6,en
23006,Bethanie,NA,Keetmanshoop Urban,,−26.528,17.162,en
23007,Helmeringhausen,NA,Berseba,,−26.859,16.528,en
23008,Karasburg,NA,Karasburg East,,−28.033,18.8666,en
23009,Grünau,NA,Karasburg West,,−26.416,18.1333,en
23010,Ariamsvlei,NA,Karasburg West,,−27.3833,18.983,en
23011,Warmbad,NA,Karasburg East,,−28.0166,17.3333,en
23012,Noordoewer,NA,Karasburg West,,−28.6666,17.633,en
23013,Aussenkehr,NA,Karasburg West,,−28.6333,17.4833,en
23014,Rosh Pinah,NA,Oranjemund,,−26.5833,15.2,en
23015,Oranjemund,NA,Oranjemund,,−28.566,16.4,en
23016,Lüderitz,NA,ǃNamiǂNûs,,−26.64858,15.15728,en
23017,Aus,NA,ǃNamiǂNûs,,−26.721,16.15139,en
