Name,Country,District,DS Division,Latitude,Longitude,Language
Eravur,LK,Batticaloa,Eravur,7.7667,81.6000,en
Valachchenai,LK,Batticaloa,Valachchenai,7.8994,81.5661,en
Trincomalee,LK,Trincomalee,Trincomalee,8.5760,81.2330,en
Kinniya,LK,Trincomalee,Kinniya,8.4833,81.1833,en
Muttur,LK,Trincomalee,Muttur,8.4500,81.2667,en
Anuradhapura,LK,Anuradhapura,Anuradhapura,8.3114,80.4037,en
Mihintale,LK,Anuradhapura,Mihintale,8.3752,80.5070,en
Kekirawa,LK,Anuradhapura,Kekirawa,8.0356,80.5950,en
Polonnaruwa,LK,Polonnaruwa,Polonnaruwa,7.9403,81.0188,en
Hingurakgoda,LK,Polonnaruwa,Hingurakgoda,8.0500,80.9500,en
Medirigiriya,LK,Polonnaruwa,Medirigiriya,8.1833,80.9167,en
Kurunegala,LK,Kurunegala,Kurunegala,7.4863,80.3621,en
Kuliyapitiya,LK,Kurunegala,Kuliyapitiya,7.4667,80.0333,en
Pannala,LK,Kurunegala,Pannala,7.3833,80.0333,en
Puttalam,LK,Puttalam,Puttalam,8.0333,79.8333,en
Chilaw,LK,Puttalam,Chilaw,7.5833,79.8000,en
Wennappuwa,LK,Puttalam,Wennappuwa,7.3000,79.8500,en
Jaffna,LK,Jaffna,Jaffna,9.6685,80.0074,en
Point Pedro,LK,Jaffna,Point Pedro,9.8167,80.2333,en
Mannar,LK,Mannar,Mannar,8.9833,79.9000,en
Pesalai,LK,Mannar,Pesalai,9.0500,79.7333,en
Mullaitivu,LK,Mullaitivu,Mullaitivu,9.2674,80.8128,en
Puthukudiyiruppu,LK,Mullaitivu,Puthukudiyiruppu,9.3833,80.7667,en
Vavuniya,LK,Vavuniya,Vavuniya,8.7500,80.5000,en
Omanthai,LK,Vavuniya,Omanthai,8.8500,80.4667,en
Kilinochchi,LK,Kilinochchi,Kilinochchi,9.4000,80.4000,en
Paranthan,LK,Kilinochchi,Paranthan,9.4333,80.4167,en
Kegalle,LK,Kegalle,Kegalle,7.2514,80.3464,en
Warakapola,LK,Kegalle,Warakapola,7.1500,80.2500,en
Ratnapura,LK,Ratnapura,Ratnapura,6.6828,80.3992,en
Balangoda,LK,Ratnapura,Balangoda,6.6470,80.7042,en
Galle,LK,Galle,Galle,6.0535,80.2210,en
Ambalangoda,LK,Galle,Ambalangoda,6.2394,80.0533,en
Matara,LK,Matara,Matara,5.9485,80.5353,en
Weligama,LK,Matara,Weligama,5.9736,80.4292,en
Hambantota,LK,Hambantota,Hambantota,6.1240,81.1185,en
Tangalle,LK,Hambantota,Tangalle,6.0228,80.7916,en
Badulla,LK,Badulla,Badulla,6.9896,81.0552,en
Bandarawela,LK,Badulla,Bandarawela,6.8316,80.9936,en
Monaragala,LK,Monaragala,Monaragala,6.8804,81.3509,en
Wellawaya,LK,Monaragala,Wellawaya,6.7351,81.1015,en

